,exp_Gene
835,Pygb
836,Gins1
837,Tpx2
838,Asxl1
839,Cbfa2t2
840,Trp53inp2
841,Myl9
842,Tgif2
843,Nnat
844,Rbpjl
845,Wfdc2
846,Eya2
847,Zfos1
848,Rnf114
849,Tshz2
850,Fam210b
851,Cdh4
852,Col9a3
853,Myt1
854,Snx16
855,1810022K09Rik
856,Cyp7b1
857,Cpb1
858,Naaladl2
859,Nlgn1
860,Ect2
861,Fndc3b
862,Sclt1
863,Exosc8
864,Wwtr1
865,Trim59
866,Golim4
867,Gria2
868,Pmf1
869,Lmna
870,Syt11
871,Riiad1
872,Tuft1
873,Cgn
874,Phgdh
875,Ptgfrn
876,Magi3
877,Cym
878,5330417C22Rik
879,Gpsm2
880,Snx7
881,Ugt8a
882,Ank2
883,Larp7
884,Sgms2
885,Npnt
886,Arhgef38
887,Lmo4
888,Cyr61
889,Prkacb
890,Gipc2
891,St6galnac5
892,Acadm
893,Stmn2
894,Zbtb10
895,Fabp5
896,Tnik
897,Slc2a2
898,Skil
899,Cldn11
900,Hspa4l
901,Plk4
902,Noct
903,Foxo1
904,P2ry1
905,Tiparp
906,Mlf1
907,Smc4
908,Serpini1
909,Iqgap3
910,Muc1
911,Pbxip1
912,S100a10
913,Selenbp1
914,Notch2
915,Vtcn1
916,Igsf3
917,Taf13
918,Clcc1
919,Frrs1
920,Cnn3
921,F3
922,Bcar3
923,Sec24d
924,Ndst4
925,Elovl6
926,Casp6
927,Gm43194
928,Cxxc4
929,Cenpe
930,Ppp3ca
931,Ddit4l
932,Tspan5
933,Ddah1
934,Gm43861
935,Ptger3
936,Wls
937,Car8
938,Decr1
939,Klhl32
940,B4galt1
941,Cntfr
942,Igfbpl1
943,Anks6
944,Grin3a
945,Abca1
946,Ptpn3
947,Lpar1
948,Ptbp3
949,Alad
950,Cdk5rap2
951,Tle1
952,Nfib
953,Psip1
954,Slc24a2
955,Mllt3
956,Itgb3bp
957,Fam159a
958,Gpx7
959,Elavl4
960,Nasp
961,Kif2c
962,Cdc20
963,Ppih
964,Ctps
965,Kcnq4
966,Smap2
967,Ppie
968,Cdca8
969,Hpca
970,Serinc2
971,Rcc1
972,Phactr4
973,Sesn2
974,Rps6ka1
975,Man1c1
976,Cela3b
977,Rap1gapos
978,Otud3
979,Igsf21
980,Fblim1
981,Efhd2
982,Tmem51
983,Slc25a33
984,Espn
985,Smim1
986,Prdm16
987,Chd7
988,Trp53inp1
989,Ccne2
990,Rad54b
991,Gem
992,Runx1t1
993,Tmem55a
994,Gm11837
995,Spink4
996,Il11ra1
997,Melk
998,Aldh1b1
999,Msantd3
1000,Smc2
1001,Zfp462
1002,E130308A19Rik
1003,Slc31a2
1004,Bspry
1005,Col27a1
1006,Lurap1l
1007,Cntln
1008,Adamtsl1
1009,Mtap
1010,Fggy
1011,Nfia
1012,Usp1
1013,Alg6
1014,Pgm2
1015,Pde4b
1016,Dab1
1017,Plpp3
1018,Fam151a
1019,Ndc1
1020,Lrp8
1021,Rab3b
1022,Stil
1023,Slc2a1
1024,Svbp
1025,Hivep3
1026,Ppt1
1027,Clspn
1028,Sfpq
1029,Rpa2
1030,Ahdc1
1031,Stmn1
1032,Fuca1
1033,Ece1
1034,Ubr4
1035,Arhgef19
1036,Casz1
1037,Slc2a5
1038,Errfi1
1039,Acot7
1040,Nphp4
1041,Wrap73
1042,Megf6
1043,Cyp51
1044,Dbf4
1045,Crot
1046,Gnai1
1047,Smarcd3
1048,Tyms
1049,Wfs1
1050,Prom1
1051,Kcnip4
1052,Rfc1
1053,Clock
1054,Ppat
1055,Igfbp7
1056,Cenpc1
1057,Ugt2b34
1058,Gc
1059,Sdad1
1060,Plac8
1061,Mapk10
1062,Fbrsl1
1063,Miat
1064,Sez6l
1065,Hspb8
1066,Srrm4
1067,Sdsl
1068,Aldh2
1069,Atp2a2
1070,Kdm2b
1071,Abcb9
1072,Pitpnm2
1073,Gm42637
1074,Gusb
1075,Col26a1
1076,Mcm7
1077,Pdgfa
1078,Prkar1b
1079,Mmd2
1080,Tecpr1
1081,2210019I11Rik
1082,Rfc3
1083,Cdk6
1084,Sema3c
1085,Klhl7
1086,Ube3c
1087,Drc1
1088,Kcnk3
1089,Dpysl5
1090,Mrpl33
1091,Tacc3
1092,Tbc1d1
1093,Klf3
1094,Fam114a1
1095,Limch1
1096,Nipal1
1097,Rasl11b
1098,Kit
1099,Rest
1100,Ugt2b35
1101,Dck
1102,Slc4a4
1103,Afm
1104,Parm1
1105,Shroom3
1106,Sept11
1107,Ccng2
1108,Fras1
1109,Ptpn13
1110,Nudt9
1111,Spp1
1112,Pkd2
1113,Lrrc8c
1114,Pole
1115,Ttc28
1116,Hnf1aos1
1117,Msi1
1118,Cit
1119,Ksr2
1120,Tesc
1121,Hip1r
1122,Setd8
1123,Aacs
1124,Tpst1
1125,Rfc2
1126,Abhd11
1127,Stx1a
1128,Mlxipl
1129,Upk3bl
1130,Slc29a4
1131,Fscn1
1132,Nptx2
1133,Mtus2
1134,B3glct
1135,Brca2
1136,Sgce
1137,Pon3
1138,Pon2
1139,Ica1
1140,Tspan12
1141,Fam3c
1142,Pax4
1143,Ptn
1144,Creb3l2
1145,Hipk2
1146,Dennd2a
1147,Ezh2
1148,Zfp467
1149,Crhr2
1150,Nap1l5
1151,Gadd45a
1152,Tcf7l1
1153,Mthfd2
1154,Spr
1155,Adamts9
1156,Magi1
1157,Suclg2
1158,Rybp
1159,Sumf1
1160,Rad18
1161,Ghrl
1162,Vgll4
1163,Tamm41
1164,Ankrd26
1165,Cd9
1166,Ccnd2
1167,Ybx3
1168,Hebp1
1169,Eps8
1170,Lmo3
1171,Ldhb
1172,Sox5
1173,Tm7sf3
1174,Dennd5b
1175,Peg10
1176,Ppp1r9a
1177,Asb4
1178,C1galt1
1179,Nxph1
1180,Foxp2
1181,Mdfic
1182,Ptprz1
1183,Smo
1184,Mest
1185,Cald1
1186,Npy
1187,Mpp6
1188,Nfe2l3
1189,Creb5
1190,Chn2
1191,Znrf2
1192,Fkbp9
1193,Mad2l1
1194,Gng12
1195,St3gal5
1196,Capg
1197,Rtkn
1198,Gfpt1
1199,Mgll
1200,Lrrn1
1201,Il17re
1202,Irak2
1203,Syn2
1204,Cxcl12
1205,Zfp637
1206,Usp18
1207,Bcl2l14
1208,Lockd
1209,Mgst1
1210,Rassf8
1211,2810474O19Rik
1212,Cdc42ep5
1213,Zim1
1214,Sae1
1215,Hif3a
1216,Foxa3
1217,Gipr
1218,Fosb
1219,Relb
1220,Apoc1
1221,Pvrl2
1222,Mia
1223,Dll3
1224,Actn4
1225,Kirrel2
1226,Chst8
1227,Nudt19
1228,Myh14
1229,Bcl2l12
1230,Sult2b1
1231,Abcc8
1232,Ush1c
1233,E2f8
1234,Klf13
1235,Mctp2
1236,Chd2
1237,St8sia2
1238,Slco3a1
1239,Anpep
1240,Blm
1241,Ap3b2
1242,Homer2
1243,Hdgfrp3
1244,Eed
1245,Pold3
1246,Inppl1
1247,Galnt18
1248,Rras2
1249,Sox6
1250,Kif22
1251,Pycard
1252,Mcmbp
1253,Fgfr2
1254,Oat
1255,Fam53b
1256,Mki67
1257,Sct
1258,Igf2
1259,Ins2
1260,Cdkn1c
1261,Ano1
1262,Ccnd1
1263,Ttyh1
1264,Eps8l1
1265,Lig1
1266,Meis3
1267,Numbl
1268,Fbxo17
1269,Ppp1r14a
1270,Clip3
1271,Prodh2
1272,Cep89
1273,Tshz3
1274,Kcnc3
1275,Pih1d1
1276,Tead2
1277,Ldha
1278,Prmt3
1279,Nell1
1280,Gas2
1281,Igf1r
1282,Acan
1283,Abhd2
1284,Fanci
1285,Prc1
1286,Mesdc2
1287,Gm2115
1288,Ctsc
1289,Tenm4
1290,Alg8
1291,Pak1
1292,P4ha3
1293,Rrm1
1294,Spon1
1295,Pde3b
1296,Nucb2
1297,Xylt1
1298,Eef2k
1299,Scnn1b
1300,Sgf29
1301,Hirip3
1302,Sez6l2
1303,Sec23ip
1304,Tacc2
1305,Plekha1
1306,Acadsb
1307,Mgmt
1308,Eps8l2
1309,Tssc4
1310,Shank2
1311,Shcbp1
1312,Col4a1
1313,Grtp1
1314,Gas6
1315,Ckap2
1316,Rbpms
1317,Eri1
1318,Mtmr7
1319,Wwc2
1320,Neil3
1321,Galnt7
1322,Msmo1
1323,Lzts1
1324,Nr2f6
1325,Bst2
1326,Tmem184c
1327,Gab1
1328,Nfix
1329,Rnaseh2a
1330,Tox3
1331,Ces1d
1332,Kifc3
1333,Cdh11
1334,Cenpt
1335,Nqo1
1336,Rfwd3
1337,Cmc2
1338,Gins2
1339,Slc7a5
1340,Cyba
1341,Galns
1342,Cbfa2t3
1343,Cers4
